Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
48,Claude Giroux,35,OTT,C,17,8,10,18,2,6,2.1,7,1,0,0,5,5,0,43,18.6,305,17:55,6,16,115,76,60.2,giroucl01
49,Kevin Hayes,30,PHI,RW,18,5,13,18,-8,9,1.3,4,1,0,0,7,6,0,47,10.6,347,19:16,8,12,127,147,46.4,hayeske01
50,Clayton Keller,24,ARI,C,16,7,11,18,-8,2,1.7,4,3,0,0,7,4,0,32,21.9,307,19:09,4,4,5,11,31.3,kellecl01
51,Anders Lee,32,NYI,LW,19,8,10,18,1,21,2.0,5,3,0,1,6,4,0,52,15.4,316,16:39,13,35,11,11,50.0,leean01
52,Hampus Lindholm,29,BOS,D,18,4,14,18,21,16,4.0,4,0,0,1,9,5,0,37,10.8,435,24:08,22,21,0,0,,lindhha01
53,Brandon Montour,28,FLA,D,16,4,14,18,6,10,2.6,2,2,0,2,10,4,0,50,8.0,407,25:25,24,23,0,0,,montobr01
54,Brayden Point,26,TBL,C,18,6,12,18,1,2,1.6,4,2,0,1,8,4,0,53,11.3,375,20:50,8,10,103,122,45.8,pointbr01
55,Mikhail Sergachev,24,TBL,D,18,4,14,18,0,20,2.4,2,2,0,1,8,6,0,31,12.9,432,24:00,45,17,0,0,,sergami01
56,Chandler Stephenson,28,VEG,C,19,6,12,18,9,4,2.0,3,2,1,3,10,1,1,35,17.1,367,19:20,11,23,151,88,63.2,stephch02
57,Andrei Svechnikov,22,CAR,RW,18,12,6,18,0,8,2.3,9,3,0,1,2,4,0,60,20.0,338,18:47,3,31,0,0,,svechan01
58,Carter Verhaeghe,27,FLA,C,18,11,7,18,2,14,2.2,9,2,0,0,5,2,0,56,19.6,325,18:03,6,6,1,3,25.0,verhaca01
59,Patrice Bergeron,37,BOS,C,18,9,8,17,11,4,2.3,5,4,0,2,5,3,0,56,16.1,324,18:01,13,12,246,156,61.2,bergepa01
60,Jake Guentzel,28,PIT,C,14,10,7,17,-3,8,1.9,8,2,0,3,6,1,0,48,20.8,273,19:28,0,17,3,4,42.9,guentja01
61,Tomas Hertl,29,SJS,C,20,4,13,17,1,6,1.5,4,0,0,1,10,3,0,37,10.8,392,19:36,18,23,189,187,50.3,hertlto01
62,Timo Meier,26,SJS,RW,20,8,9,17,1,4,1.8,4,4,0,1,8,1,0,95,8.4,399,19:57,3,42,4,18,18.2,meierti01
63,J.T. Miller,29,VAN,C,18,10,7,17,-8,15,1.5,5,5,0,0,1,6,0,40,25.0,383,21:16,13,39,53,60,46.9,millejt01
64,Alex Ovechkin,37,WSH,LW,20,9,8,17,-14,12,1.4,4,5,0,1,4,4,0,78,11.5,420,21:01,6,59,1,3,25.0,ovechal01
65,Alex Pietrangelo,33,VEG,D,19,2,15,17,1,4,2.2,1,1,0,0,9,6,0,45,4.4,447,23:32,42,21,0,0,,pietral01
66,Tim Stützle,21,OTT,LW,17,6,11,17,-5,12,1.5,5,1,0,0,7,4,0,35,17.1,344,20:14,13,32,52,64,44.8,stuetti02
67,Mats Zuccarello,35,MIN,LW,18,6,11,17,-7,8,1.4,2,4,0,1,6,5,0,48,12.5,372,20:40,8,11,5,6,45.5,zuccama01
68,Kirby Dach,22,MTL,C,18,4,12,16,1,12,1.5,3,1,0,2,7,5,0,28,14.3,300,16:39,7,11,19,31,38.0,dachki01
69,Quinn Hughes,23,VAN,D,14,0,16,16,-1,6,1.5,0,0,0,0,8,8,0,26,0.0,347,24:45,13,0,0,0,,hughequ01
70,Elias Lindholm,28,CGY,C,17,6,10,16,-3,2,1.5,3,3,0,0,7,2,1,41,14.6,332,19:31,12,24,194,160,54.8,lindhel01
71,Trevor Moore,27,LAK,LW,21,6,10,16,5,0,1.5,5,0,1,1,6,4,0,67,9.0,381,18:08,6,17,4,13,23.5,mooretr01
72,Josh Morrissey,27,WPG,D,16,1,15,16,1,17,2.3,0,1,0,1,11,4,0,27,3.7,374,23:23,22,19,0,0,,morrijo04
73,Morgan Rielly,28,TOR,D,19,0,16,16,0,7,2.0,0,0,0,0,10,6,0,32,0.0,443,23:20,23,20,0,0,,riellmo01
74,Alex Tuch,26,BUF,RW,18,9,7,16,0,4,1.8,7,2,0,3,4,3,0,45,20.0,334,18:34,12,12,8,6,57.1,tuchal01
75,Trevor Zegras,21,ANA,C,18,8,8,16,-3,18,1.5,6,2,0,1,7,1,0,42,19.0,356,19:46,7,15,73,104,41.2,zegratr01
76,Aleksander Barkov,27,FLA,C,17,4,11,15,4,0,1.2,1,3,0,0,8,3,0,66,6.1,390,22:56,13,11,239,180,57.0,barkoal01
77,Sam Bennett,26,FLA,C,18,5,10,15,-1,24,1.2,4,1,0,1,9,1,0,63,7.9,319,17:44,13,46,103,143,41.9,bennesa01
78,Andre Burakovsky,27,SEA,LW,18,4,11,15,-5,8,1.1,2,2,0,0,6,5,0,47,8.5,310,17:14,4,7,0,4,0.0,burakan01
79,Kyle Connor,26,WPG,LW,16,5,10,15,-1,2,1.4,4,1,0,2,5,5,0,59,8.5,336,21:00,5,12,0,0,,connoky01
80,Logan Couture,33,SJS,C,20,9,6,15,-9,9,1.4,7,2,0,0,3,3,0,39,23.1,366,18:18,16,30,171,188,47.6,coutulo01
81,Phillip Danault,29,LAK,C,21,6,9,15,6,12,1.5,6,0,0,1,5,3,1,39,15.4,382,18:10,21,19,177,160,52.5,danauph01
82,Jordan Eberle,32,SEA,RW,18,5,10,15,-4,8,1.3,4,1,0,1,6,4,0,33,15.2,291,16:11,5,8,2,1,66.7,eberljo01
